id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;is_city;country;is_main_station;time_zone;is_suggestable;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh
1;Château-Arnoux—St-Auban;chateau-arnoux-st-auban;;;44.0817900000;6.0016250000;;t;FR;f;Europe/Paris;f;FRAAA;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
2;Château-Arnoux—St-Auban;chateau-arnoux-st-auban;8775123;87751230;44.0615651;5.9973734;1;f;FR;t;Europe/Paris;t;FRCAA;;t;;f;8700156;f;;f;;f;;f;;;;f;;f;8700334;f;;f;FRCAA;f;f;;;;;;;;;;;;;;;;;;
3;Château-Arnoux Mairie;chateau-arnoux-mairie;8775122;87751222;44.063863;6.011248;1;f;FR;f;Europe/Paris;t;FRHXG;;t;;f;8704959;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
4;Digne-les-Bains;digne-les-bains;9921024;;44.3500000000;6.3500000000;;t;FR;f;Europe/Paris;f;FRAAB;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
6;Digne-les-Bains;digne-les-bains;8775149;87751495;44.088710133980605;6.222982406616211;4;f;FR;t;Europe/Paris;t;FRXDI;;t;;f;8703212;f;;f;;f;;f;;;;f;;f;8700335;f;;f;;f;f;;;;;;;;;;;;;;;;;;
7;La Crau;la-crau;8775561;87755611;43.1449352;6.0687663;;f;FR;f;Europe/Paris;t;FRAAC;;t;;f;8703562;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
8;Aire-sur-l’Adour;aire-sur-ladour;8767104;87671040;43.703854;-0.258269;;f;FR;f;Europe/Paris;t;FRAAD;;t;;f;8702631;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
9;Cagnes-sur-Mer;cagnes-sur-mer;8775632;87756320;43.65813;7.14864;5768;f;FR;t;Europe/Paris;t;FRAAE;;t;;f;8700480;f;;f;;f;8775632;f;;;;f;;f;8700373;f;;f;;f;f;;;;;;;;;;;カーニュ＝シュル＝メール;;;;Кань-сюр-Мер;;;卡涅
10;Menton;menton;;;43.7764860000;7.5043490000;;t;FR;f;Europe/Paris;f;FRAAF;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;t;;;;;;;;;;;;;;;;;;
11;Menton;menton;8775648;87756486;43.774444;7.493300;10;f;FR;t;Europe/Paris;t;FRXMT;MEN;t;;f;8700150;f;;f;;f;8775648;t;S75648;;;f;;f;8700295;f;;f;FRXMT;f;t;;;;;;Mentone;;;;;;;;;Ментона;;;
